name,id,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140.7,139.2,137.3,135.9,134.7,133.6,132.9,132.4,132,131.9,132,132.1,132.1,132.2,132.1,131.7,130.8,129.5,127.5,125.1,122.2,118.9,115.1,110.8,106.2,101.3,96.2,91,85.8,80.7,76,71.5,67.3,63.6,60.5,57.8,55.5,53.4,51.6,
Burundi,BDI,NA,NA,NA,NA,143,143.9,145.1,146,146.8,147.3,147.6,147.9,148.1,148.3,148.6,148.5,147.8,146.1,142.9,138.4,132.9,127.1,121,115.2,110.2,106.3,104,102.9,103.1,104,105.2,106.4,107.3,107.8,107.7,107,105.7,103.7,101.4,98.6,95.7,92.6,89.4,86.1,82.5,78.5,74.4,70.3,66.3,62.7,59.2,56.1,53.2,50.4,47.9,45.8,44,42.4,41,
Benin,BEN,184.9,181.9,178.8,175.6,172.3,169.1,166,163.1,160.3,157.7,155.2,152.6,150,147.1,144.2,141.2,138,134.9,132,129.5,127.1,124.9,122.7,120.7,118.7,116.6,114.5,112.3,110.2,108,105.8,103.6,101.5,99.4,97.3,95.4,93.6,91.8,90,88.2,86.4,84.5,82.7,80.9,79.1,77.5,76,74.6,73.2,72,70.8,69.5,68.2,67,65.7,64.4,63.2,61.9,60.5,
Burkina Faso,BFA,155.6,154,152.6,151.1,149.9,148.8,147.8,147,146.3,145.7,145,144,142.6,140.2,136.8,132.6,128.3,124,120.3,117.1,114.4,112.3,110.4,108.7,106.9,105.1,103.4,101.6,100.2,99.3,98.8,98.7,98.7,98.6,98.1,97.3,96.2,95,93.6,92.3,90.9,89.4,87.7,85.7,83.3,80.5,77.5,74.3,71.2,68.1,65.2,62.4,59.8,57.5,55.4,53.6,51.9,50.4,49,
Botswana,BWA,115.6,112.2,109.1,106,102.9,100,97,94.2,91.3,88.4,85.3,82.2,79,75.7,72.4,69,65.8,62.6,59.5,56.6,53.9,51.3,48.9,46.7,44.6,42.8,41.3,40,39.2,39,39.4,40.3,41.7,43,44.5,46,47.4,48.7,49.7,50.3,50,49.2,48.3,47.2,46,42.4,41.1,41.7,41.4,40.2,38.4,38.9,36.8,34.8,34.5,33.2,32.3,30.8,30,
Central African Republic,CAF,NA,162.2,159.6,157.1,154.5,151.6,148.8,145.9,143,140.1,137.5,135.1,132.9,130.8,128.9,127.1,125.4,123.7,122.2,120.8,119.6,118.6,117.7,117.1,116.6,116.1,115.8,115.6,116,116.7,116.9,116.5,115.8,115.3,114.7,114.3,113.6,113,112.4,111.8,111.2,110.7,110,109.4,108.8,108,106.9,105.9,104.7,102.9,101.4,99.3,97.2,95.6,93,90.7,88.3,86.5,84.5,
Côte d'Ivoire,CIV,212.9,207.3,201.8,196.5,191.4,186.4,181.6,176.9,172.3,167.7,163,158.1,152.8,147.4,141.9,136.2,130.7,125.6,121.1,117.4,114.4,111.9,109.9,108.3,107.1,106.3,105.7,105.4,105.3,105.2,105.3,105.2,105.1,104.8,104.4,103.8,103,102,100.7,99.2,97.5,95.6,93.6,91.5,89.3,87,84.9,82.4,79.9,77.6,75.3,73.3,71,68.9,66.9,64.8,62.9,61,59.4,
Cameroon,CMR,163.5,160,157.2,154.7,152.2,149.1,145.3,140.5,135,129.6,124.8,120.6,117.4,115.3,114.2,113.7,113.3,112.9,112,110.5,108.3,105.5,102.3,98.7,95.1,91.7,88.7,86.6,85.2,84.7,85.1,86.2,87.6,89.2,90.7,92,92.9,93.3,93.2,92.3,90.7,88.6,86.2,83.7,81.2,79,76.7,74.6,72.1,69.9,67.1,64.9,62.5,60,57.9,55.7,54,52.2,50.6,
Democratic Republic of the Congo,COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,149.6,147.9,146.4,144.9,143.3,141.6,139.9,138.2,136.5,134.8,133.2,131.6,130.1,128.7,127.3,126,124.8,123.7,122.7,121.6,120.5,119.5,118.4,117.4,116.6,115.7,114.7,113.7,112.4,111,109.2,107.3,105.1,102.9,100.7,98.4,96,93.6,91.3,88.9,86.7,84.3,82.1,79.9,77.9,75.9,73.9,71.9,70,68.2,
Republic of the Congo,COG,110.1,107.9,105.8,103.7,101.5,99.1,96.9,94.3,91.9,89.5,87.3,85.3,83.2,81.3,79.4,77.7,75.9,74.3,72.6,70.9,69.4,67.7,66.1,64.3,62.6,61.1,59.8,58.9,58.4,58.4,58.9,59.9,61.3,63,64.9,67.1,69.2,71.2,72.7,73.2,72.5,70.8,68.1,64.6,60.6,56.6,52.8,49.6,46.8,44.8,43.3,42.2,41.4,40.7,39.8,38.9,38,37.1,36.2,
